统一社会信用代码,企业名称,行业代码,主要业务活动,是否体育,体育业态,体育业务占比,置信度,样本ID,标注A_是否体育,标注A_体育业态,标注A_判断依据,标注B_是否体育,标注B_体育业态,标注B_判断依据,金标准_是否体育,金标准_体育业态,金标准_仲裁理由
91510108MA61YRUN7F,成都翌航文化传媒有限公司,8992,户外拓展服务,True,健身休闲,0.6611,0.9,262,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510402MA66D80M69,四川麦罗瑞兰工程咨询有限公司,7481,工程造价咨询,False,非体育,0.0,0.0,263,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510122MA62LMYE5J,四川赛匡体育科技有限公司,5242,体育器材零售,True,体育用品,0.8736,0.95,264,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510106MA7HHRRA5F,榕辰体育俱乐部（成都）有限公司,8911,篮球体育服务,True,体育用品,0.8847,0.95,265,是,体育管理,直接代码+1个体育信号,是,体育管理,直接代码+1个体育信号,是,体育管理,双方一致
91510107MA69XNU18M,四川墨唐子体育用品有限公司,5142,体育用品及器材批发,True,体育用品,0.8736,0.95,266,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510504MA66B8FK4Q,泸州篮盟体育文化传播有限公司,8911,组织篮球比赛,True,体育管理,0.2125,0.85,267,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510132MA6ATP556F,四川成都影子传说文化传媒有限公司,7259,广告制作,False,非体育,0.075,0.0,268,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511528309469843G,兴文县西部民族文化服务有限公司,1821,针织或钩针编织服装制造,True,体育用品,0.2125,0.85,269,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510502337760419P,泸州童趣拓展活动有限公司,8930,户外活动,True,健身休闲,0.2125,0.85,270,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91513401MA62H04M8P,西昌市嘉桦工程管理有限公司,7481,工程管理服务,False,非体育,0.0,0.0,271,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510115MA6BJ10M4F,四川川体金川体育发展有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,272,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510502MAEB7XB942,泸州一束光健身有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,273,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510304MABT2ME03W,四川泰巍体育文化发展有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,274,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510921MA7DYY0H9K,蓬溪县荣耀龙跃体育俱乐部馆,8911,体育竟赛组织,True,体育管理,0.2125,0.85,275,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91513401MA63TKQU4L,西昌市月玛西亚体育服务有限责任公司,5292,互联网体育服装零售,True,体育用品,0.6611,0.9,276,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510100MA61UN8M6Y,四川一本道馆文化传播有限公司,8392,跆拳道培训,True,体育培训,0.8736,0.95,277,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510700MABYD9P373,四川悦己瑜伽健身有限公司,8930,瑜伽服务,True,健身休闲,0.8736,0.95,278,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511781MA67X6UD8R,万源市绿香村商贸有限公司,5142,体育用品及器材批发,True,体育用品,0.8736,0.95,279,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510107MA66T25F12,成都市九津体育发展有限公司,8919,户外运动组织策划,True,健身休闲,0.8736,0.95,280,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510106MAACNM9N7N,成都诚心达有缘科技有限责任公司,7251,互联网广告设计制作服务,False,非体育,0.075,0.0,281,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511302MACTKD0D6K,南充市沃野千峰户外拓展有限公司,8930,健身运动休闲娱乐,True,健身休闲,0.2125,0.85,282,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510108MACJJYBR3K,成都绪谨戈电子商务中心,5292,一般项目：互联网销售（除销售需要许可的商品）；玩具销售；日用品销售；新鲜水果零售；水产品零售；个人卫生用品销售；服装服饰零售；日用百货销售；化妆品零售；文具用品零售；厨具卫具及日用杂品批发；母婴用品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：出版物零售；出版物互联网销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,False,非体育,0.0,0.0,283,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91512002MA65ETJ09E,资阳小虎体育咨询有限公司,7246,体育经纪服务,True,体育传媒,0.6611,0.9,284,是,体育传媒,非代码+1信号+短文本,是,体育传媒,非代码+1个信号,是,体育传媒,双方一致
91510682MAC1UCEK9P,什邡市久号委托寄卖有限公司,5189,仓库代租代销,False,非体育,0.0,0.0,285,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510106MACK0DQD4K,成都匡赐崆户外用品经营部,5242,户外用品零售,True,体育用品,0.2125,0.85,286,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91511724MA648NAB19,大竹县陈伟保健按摩店,8053,按摩服务,False,非体育,0.0,0.0,287,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510184MA6C7JK30J,成都正复体育设施有限公司,5142,体育器材批发,True,体育用品,0.8736,0.95,288,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91512002MA6AGDX932,四川鑫阳机械设备租赁有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,289,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511500MADN3UBG05,宜宾星地魔方健身有限责任公司,8930,休闲健身服务,True,健身休闲,0.8736,0.95,290,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510122MA61WNT43X,成都市双流区北斗星网吧,9013,互联网服务,False,非体育,0.0,0.0,291,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91513227MA62F26EX7,小金县流浪迹户外运动有限责任公司,8919,户外运动的组织与服务,True,健身休闲,0.8736,0.95,292,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510321MA68PFAX6T,自贡博越电子商务有限公司,5292,互联网零售,False,非体育,0.0,0.0,293,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510100MAC79DJ19L,成都飞跃达优体育文化发展有限公司,8930,儿童体能训练服务,True,体育培训,0.8736,0.95,294,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510108MA67EC9G16,成都肥肥贸易有限公司,5225,保健食品零售,False,非体育,0.0,0.0,295,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510700MA7M0T6909,四川前沿体育发展有限公司,8921,体育场地设施经营,True,体育场馆,0.8736,0.95,296,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91510122MA6CDU1C6X,成都来美健身有限公司,8930,健身服务,True,健身休闲,0.8736,0.95,297,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510116MA65RT9H5B,四川力享健康管理有限公司,8930,健身休闲服务,True,健身休闲,0.2125,0.85,298,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510100MAACJ3B16H,四川奥星城体育文化传播有限公司,8921,体育场馆经营管理,True,体育场馆,0.8736,0.95,299,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91510113690948674M,成都君仁酒业有限公司,5126,营养和保健品批发,False,非体育,0.0,0.0,300,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
